region,title,view_num,danmu,upload_time,up_author,video_url
影视杂谈,觉醒年代细节 看到网上有许多人看不懂这段，特意整理了一下！,83.6万,133,2021-06-30,保温杯里记得泡枸杞吖,www.bilibili.com/video/BV1Gg411u7cn?from=search
影视杂谈,鲁迅出场！重现课文名场面！高燃民国历史剧《觉醒年代》P3,363.1万,3.3万,2021-04-17,木鱼水心,www.bilibili.com/video/BV1Gh411S7Pw?from=search
影视杂谈,泪目！网友撰写《觉醒年代》暖心续集！,4.8万,27,2021-07-08,央视频,www.bilibili.com/video/BV1YV411W7S8?from=search
短片·手书·配音,【觉醒年代手书】“我可以献身”,5.8万,204,2021-07-10,不叫落xx叫落爻,www.bilibili.com/video/BV1Qb4y1r7Tw?from=search
影视剪辑,【觉醒年代 | 青年学生群像 | 微踩点】让酒,52.9万,897,2021-04-01,-XGCT-,www.bilibili.com/video/BV1cZ4y1c7F6?from=search
影视剪辑,【重传·觉醒年代】“他们来了，从此换了人间”,19.1万,608,2021-04-25,枕春韶,www.bilibili.com/video/BV14U4y187mY?from=search
影视杂谈,湿衣服穿10小时，冬天穿单衣冻到发烧，觉醒年代剧组有多拼？,146.8万,1391,2021-07-02,幕春秋,www.bilibili.com/video/BV1hq4y1s75f?from=search
热点,央视专访《觉醒年代》主创：豆瓣评分9.3的“神剧”是如何炼成的？,132.1万,1.8万,2021-05-03,央视网快看,www.bilibili.com/video/BV1yv411j7gE?from=search
人文历史,【觉醒年代】陈独秀，你值得这样的关注量！！！【数据可视化：《觉醒年代》的播放吸引了你对哪些人物的关注？】,25.1万,3216,2021-06-22,你方唱罢我登场场场场,www.bilibili.com/video/BV1uX4y1P7tZ?from=search
影视剪辑,【觉醒年代|热爱105℃的你】卧槽！这样的北大男团你们见过吗,14.0万,441,2021-06-26,是璐璐欧尼啊,www.bilibili.com/video/BV1yV411s7dZ?from=search
预告 资讯,神剧是如何打造的？《觉醒年代》全员细节控！,35.9万,291,2021-05-10,央视频,www.bilibili.com/video/BV1Gh411v7PX?from=search
影视剪辑,【觉醒年代】虽千万人，吾往矣,66.1万,834,2021-05-07,是璐璐欧尼啊,www.bilibili.com/video/BV1dh411m7Pu?from=search
明星,觉醒年代，陈延年陈乔年壮烈赴死花絮,46.9万,346,2021-05-21,青蛙嘎咕咕咕,www.bilibili.com/video/BV1dB4y1F7DU?from=search
影视杂谈,全网爆哭！延乔路的尽头，是繁华大道！9.3高燃民国历史剧《觉醒年代》P11,365.3万,4.1万,2021-05-13,木鱼水心,www.bilibili.com/video/BV1yy4y1p71t?from=search
明星,【花絮】觉醒年代人物特辑，封新天饰张丰载。提升自己最好的方式就是学，在现场，努力、使劲学！,29.3万,669,2021-05-20,青蛙嘎咕咕咕,www.bilibili.com/video/BV1f54y1G7uf?from=search
影视剪辑,【觉醒年代】为工友挡雨这一幕只有短短一个画面但震撼我好久，每天都感叹,43.6万,77,2021-06-09,这里的春天没有你,www.bilibili.com/video/BV1q54y1G7K3?from=search
影视剪辑,觉醒年代||全员欢乐向•时代在召唤 看点儿开心点( ˙˘˙ ),32.8万,1760,2021-05-29,粟欢超爱塞壬小甜心,www.bilibili.com/video/BV1C54y1V7yn?from=search
影视剪辑,【觉醒年代】穷开心 I 前方名场面 I 民国革命时期文豪们的欢乐瞬间,8.8万,30,2021-06-12,尼古拉斯坂田,www.bilibili.com/video/BV1SB4y1T7Jb?from=search
影视杂谈,【巴蒂】幸亏《觉醒年代》其他人演技爆表，否则加戏咖就把这个剧毁了,114.6万,4943,2021-07-05,No-巴蒂,www.bilibili.com/video/BV1PM4y1M7B4?from=search
影视剪辑,《觉醒年代》的选角跟《1921》对比！,117.4万,3393,2021-05-15,东海蛎子头,www.bilibili.com/video/BV1Ah411v7DJ?from=search
明星,我真的要再说一遍觉醒年代yyds啊！不管是正片还是花絮真的都是溢出屏幕的认真和敬业,8.3万,27,2021-07-01,青蛙嘎咕咕咕,www.bilibili.com/video/BV1Eb4y1y7Xo?from=search
影视杂谈,【巴蒂-觉醒年代①】看完这视频只记得“脱裤子”？那也没什么不好的！,4.1万,116,2021-07-11,No-巴蒂,www.bilibili.com/video/BV1Zw411R7yt?from=search
影视剪辑,【觉醒年代|干饭人鲁迅】先生也太可爱了！,50.5万,119,2021-06-13,丨一枚俗人丨,www.bilibili.com/video/BV1b54y1G7NX?from=search
明星,《觉醒年代》于和伟片场炒花生，确实糊了（三）,37.7万,533,2021-06-08,慕色梦境,www.bilibili.com/video/BV1Fw411f7ue?from=search
影视剪辑,【觉醒年代】或许是延年选中了他,36.8万,19,2021-06-03,今天来帅哥了吗,www.bilibili.com/video/BV1c54y157nC?from=search
影视剪辑,【觉醒年代】他从风雨中逆向走来 一眼便看到了百姓的疾苦,98.0万,72,2021-06-09,这里的春天没有你,www.bilibili.com/video/BV1nq4y177UE?from=search
影视剪辑,【觉醒年代X现实群像】他们看到一百年后的中国了吗？,4.8万,69,2021-06-27,追星的颓废青年,www.bilibili.com/video/BV1cV411x72J?from=search
人文历史,觉醒年代中那个可爱敢恨的钱玄同，伟大的文学家、思想家，其子也是震古烁今的国士无双，中国核弹之父钱三强,8.5万,96,2021-07-09,宇智波金木水火土,www.bilibili.com/video/BV1kf4y1L7HL?from=search
影视剪辑,《觉醒年代》太少！《1921》太多！,65.0万,590,2021-05-15,小冯同学今天开心了吗,www.bilibili.com/video/BV1d44y167cG?from=search
影视剪辑,觉醒年代到底删了多少我不知道的情节？！,8.3万,11,2021-07-08,_云起,www.bilibili.com/video/BV1fV411W7pz?from=search
影视剪辑,【台词向|觉醒年代女性群像】HERSTORY,28.0万,459,2021-04-03,卡卡卡卡卡卡佳,www.bilibili.com/video/BV1xX4y1g7tW?from=search
影视杂谈,海有戏：令人寒心！《觉醒年代》都赔本，什么电视剧才能赚钱？,97.6万,4167,2021-06-17,汪海林,www.bilibili.com/video/BV1cM4y1u761?from=search
影视剪辑,【觉醒年代丨赵世炎/林俊毅个人】 借我 || 他总是穿着黑色中山装 目光坚定站在人群中央,17.8万,169,2021-05-15,iamWednesday,www.bilibili.com/video/BV1NK4y1o7UH?from=search
影视剪辑,【水龙吟|超燃踩点群像】虽千万人，吾往矣！||觉醒年代，我的超人！,9.3万,316,2021-06-15,南至星回,www.bilibili.com/video/BV1ny4y1g7Nv?from=search
影视剪辑,又乖又奶的乔年，乔年的小奶音太可爱了！！！【觉醒年代】陈乔年&马启越,39.3万,245,2021-06-14,点点好运来,www.bilibili.com/video/BV1dh411a7V8?from=search
日常,台湾人怎么看新中国觉醒年代追光少年，祖国何成就令他们骄傲自豪,2.6万,117,2021-07-08,台湾大叔在囧途,www.bilibili.com/video/BV11X4y1w7Sj?from=search
翻唱,觉醒年代版《雾里》“我们不干，谁干。”,19.8万,225,2021-07-01,拯救世界的狗子,www.bilibili.com/video/BV1HU4y1V7BX?from=search
影视剪辑,【觉醒年代】迅哥儿辞职也很霸气！不幹了！,28.6万,170,2021-05-21,金兰小富贵儿,www.bilibili.com/video/BV1h5411u7N5?from=search
影视剪辑,【觉醒年代|李大钊×赵纫兰】在以与原配离婚为新思想追求的年代，李大钊先生是个例外,86.3万,955,2021-06-13,晓晓固不免,www.bilibili.com/video/BV1pv411p7UX?from=search
社科·法律·心理,《觉醒年代》专场互动：相隔百年 两代90后、00后的对望,22.6万,1591,2021-05-14,观学院官方,www.bilibili.com/video/BV1X541137Zs?from=search
预告 资讯,于和伟谈自己出演《觉醒年代》时，情到深处总忍不住哭出来,16.2万,36,2021-07-02,田间の雏子,www.bilibili.com/video/BV1C64y1b7PM?from=search
社会,经典再现！觉醒年代重现舞台 全场共唱《国际歌》,132.4万,6484,2021-07-01,央视新闻,www.bilibili.com/video/BV1Kb4y1y7XH?from=search
影视剪辑,【觉醒年代&陈独秀个人台词向】没有人会不喜欢觉醒年代里的仲甫先生，于和伟老师的台词太好了,9.4万,181,2021-06-05,珺墨良钰,www.bilibili.com/video/BV1g64y1C77Q?from=search
影视剪辑,【觉醒年代】全员欢乐向 | 快来笑！,8.8万,129,2021-06-23,pursue_19,www.bilibili.com/video/BV1CU4y1G7C2?from=search
影视剪辑,觉醒年代｜乔年这孩子，打小就会说话。,38.2万,426,2021-05-24,仲夏星河梦fairy,www.bilibili.com/video/BV1wA41137P4?from=search
鬼畜剧场,【觉醒年代|刘师培】病秧子宝：内置北大校花语音,4.3万,218,2021-06-28,Lumina_Puth,www.bilibili.com/video/BV1oV411s7G4?from=search
明星,觉醒年代于和伟采访小合集，我们的考点是他们的一生啊,4.6万,41,2021-07-07,肆年九月蓝,www.bilibili.com/video/BV1Wf4y1L7EY?from=search
影视杂谈,觉醒年代  傅斯年  骨头最硬的民国大师,7.4万,27,2021-07-12,啦啦啦的能量,www.bilibili.com/video/BV1Bb4y1k75n?from=search
影视剪辑,【觉醒年代｜少年欢乐向】一笑悬命·谁还不是个小可爱啦,69.9万,1534,2021-04-30,半糖加半奶,www.bilibili.com/video/BV1LZ4y1F7yY?from=search
影视杂谈,五四运动全面爆发！中国人不会忘记这一天！9.3高燃民国历史剧《觉醒年代》P9,266.4万,3.2万,2021-05-04,木鱼水心,www.bilibili.com/video/BV1Sh411m7BH?from=search
明星,晁然被安利觉醒年代，迷惑发言只因先辈奋斗剧情：听起来就不好看,20.8万,68,2021-05-31,抓马视频,www.bilibili.com/video/BV1vh411Y75Q?from=search
预告 资讯,《山海情》《觉醒年代》《大江大河2》…这入围名单简直了！,80.1万,3905,2021-05-21,观察者网,www.bilibili.com/video/BV1BK4y197z6?from=search
影视剪辑,从无人问津的龙套，到拍戏时被导演嘲讽，现逆袭飞天视帝！他是觉醒年代的李大钊！是亮剑的魏和尚,91.3万,267,2021-06-29,轮胎在欢叫,www.bilibili.com/video/BV1c64y1b7WB?from=search
人文历史,那些可以写入作文的经典台词丨觉醒年代丨第五十五期,7.1万,44,2021-06-20,淋雨の伞,www.bilibili.com/video/BV1N5411T78Z?from=search
影视剪辑,【觉醒年代】牙医：不能再吃糖了。迅哥儿：不能吃糖我治牙干嘛？蔡公：不准吃糖！迅哥儿：我听蔡公的,40.3万,13,2021-06-06,今天来帅哥了吗,www.bilibili.com/video/BV1yv411V7wb?from=search
原创音乐,【献礼建党百年】九州同【国风歌曲X觉醒年代】,18.6万,293,2021-07-01,安徽共青团,www.bilibili.com/video/BV13b4y1y73Z?from=search
