,comments
816,上下五千年中华第一猛人出场
817,忠厚人
818,恨不得生啖你肉！
819,俺也一样
820,咳咳
821,买断制和订阅制
822,天降猛男
823,太直了哈哈哈
824,ｕｐ说的很好啊
825,你再骂
826,这镜头
827,吾辈楷模
828,胡适那白话诗写得……笑死人了
829,换位思考
830,不破不立
831,民智未开就不开么？
832,建议开通免密支付，自动续费方便一些
833,没文化，这是青年杂志，后面才叫的新青年
834,南昌人震怒
835,这还有个托hhh
836,捆绑销售
837,致敬
838,农民可能啥也不知道，饭都吃不饱呢
839,才看到15集，先收藏了
840,这让我想起了汉朝的刘邦，只不过这次与对手的关系不同
841,觉醒年代NB！
842,曹老师yyds！
843,高君曼女士蒸的
844,钞能力需要
845,乔年小可爱
846,老过秦论了
847,为为中华之崛起而读书！
848,他来了，他来了
849,啊害怕待会放下再捡啊
850,不破不立
851,啊这...
852,应该带点我们弗兰口音哈哈哈哈哈哈
853,爸爸好帅
854,犀利哥哈哈哈哈爷青回
855,一语成谶
856,很荣幸，作为陈独秀长孙陈长琦教授的学生
857,南昌人震怒
858,我为什么热泪盈眶
859,歌舞依然上画楼
860,致敬
861,妈呀演员好像
862,体育救国
863,别骂了就是我！呜呜呜呜呜呜呜
864,B站现状，以为自己什么都懂，随时都站在道德制高点，却总是忘记思考
865,给老子飞！
866,截图发群里
867,惭愧啊
868,叉！出！去！
869,全体起立！！！！！
870,犀利哥 时代的眼泪
871,洛基
872,忠孝两难全
873,为什么后面的人是虚化的…
874,这个麻袋是真的重量 不是假的
875,前面嗑烈士的怕不是有大病
876,再次起立！！！
877,阿译长官
878,说的我又想哭了
879,别骂了23333
880,mbgg！！！！
881,我和一株顶高的树并排立着 却没有靠着————沈尹默
882,一个背影就知道你是谁
883,同伙哈哈哈哈
884,帅哥你谁
885,高考作文！！！
886,师傅别骂了·
887,66魏和尚
888,起立，向毛爷致敬
889,忠孝两难全
890,我被骂的好舒服好愧疚
891,鱼（愚）
892,泪 目
893,泪 目
894,那个时代太难了
895,天下为公
896,每天运动1小时，为祖国健康工作50年！
897,犀利哥，童年的梗了
898,这句不知道我感觉很浪漫
899,这台词能力，牛
900,？？胡适怎么了
901,惭愧
